,bikeIds,biketype,boundary,boundary_lat1,boundary_lat2,boundary_long1,boundary_long2,boundary_number,consecutive_lat_long_meters,distId,distNum,distX,distY,distance,from_lat,from_long,type,run_at,run_date,run_hour,run_minute,run_at_dt,lat_long_combined,upone,distY_lag,distX_lag,last_location_of_day,Haversine_distance_meters,hour_cluster,lat_on_grid,lon_on_grid,grid_point,grid_point_int,poly_point,poly,poly_perimeter,center_lat,center_lon,weekday
3542,A280002732#,1.0,,18.540385,18.474621,73.817805,73.809393,3.0,500.0,A280002732,1.0,73.812838,18.483097,269,18.48241888887333,73.81039154896787,0.0,180605-0607,180605,6,0,2018-06-05 06:07:00,"18.483097, 73.812838","18.481937, 73.813006",18.481937,73.813006,,130.23809574166967,morning,18.483097,73.812838,[[32]],32.0,32.0,"POLYGON ((73.80760128721728 18.49147118518909, 73.80737413150756 18.48249056384984, 73.81684264555854 18.48249039387959, 73.81707029453172 18.49147100398452, 73.80760128721728 18.49147118518909))",0.03690451005722628,18.486980825734424,73.81222208970526,Tuesday
3543,A280002732#,1.0,,18.540385,18.474621,73.817805,73.809393,3.0,500.0,A280002732,1.0,73.813006,18.481937,281,18.48241888887333,73.81039154896787,0.0,180605-2255,180605,22,50,2018-06-05 22:55:00,"18.481937, 73.813006","18.48311, 73.81283",18.48311,73.81283,"18.481937, 73.813006",131.7870267563923,evening,18.481937,73.813006,[[33]],33.0,33.0,"POLYGON ((73.80737413150756 18.48249056384984, 73.80714699959871 18.47350994223983, 73.81661502043791 18.47350978350274, 73.81684264555854 18.48249039387959, 73.80737413150756 18.48249056384984))",0.03690352291787722,18.478000209874608,73.81199469927711,Tuesday
3544,A280002732#,1.0,,18.540385,18.474621,73.817805,73.809393,3.0,500.0,A280002732,1.0,73.812561,18.482960000000002,236,18.48241888887333,73.81039154896787,0.0,180609-1955,180609,19,50,2018-06-09 19:55:00,"18.482960000000002, 73.812561","18.485054, 73.811127",18.485054,73.811127,,277.7295291453712,evening,18.482960000000002,73.812561,[[32]],32.0,32.0,"POLYGON ((73.80760128721728 18.49147118518909, 73.80737413150756 18.48249056384984, 73.81684264555854 18.48249039387959, 73.81707029453172 18.49147100398452, 73.80760128721728 18.49147118518909))",0.03690451005722628,18.486980825734424,73.81222208970526,Saturday
3545,A280002732#,1.0,,18.540385,18.474621,73.817805,73.809393,3.0,500.0,A280002732,1.0,73.81116899999999,18.485008999999998,209,18.48687783074548,73.81096163622415,0.0,180610-0455,180610,4,50,2018-06-10 04:55:00,"18.485008999999998, 73.81116899999999","18.48374, 73.81013399999999",18.48374,73.81013399999999,,178.45052532645175,night,18.485008999999998,73.81116899999999,[[32]],32.0,32.0,"POLYGON ((73.80760128721728 18.49147118518909, 73.80737413150756 18.48249056384984, 73.81684264555854 18.48249039387959, 73.81707029453172 18.49147100398452, 73.80760128721728 18.49147118518909))",0.03690451005722628,18.486980825734424,73.81222208970526,Sunday
3546,A280002732#,1.0,,18.540385,18.474621,73.817805,73.809393,3.0,500.0,A280002732,1.0,73.80981700000001,18.483513000000002,393,18.48687783074548,73.81096163622415,0.0,180610-2115,180610,21,10,2018-06-10 21:15:00,"18.483513000000002, 73.80981700000001","18.482993, 73.813367",18.482993,73.813367,,378.9374978542906,evening,18.483513000000002,73.80981700000001,[[32]],32.0,32.0,"POLYGON ((73.80760128721728 18.49147118518909, 73.80737413150756 18.48249056384984, 73.81684264555854 18.48249039387959, 73.81707029453172 18.49147100398452, 73.80760128721728 18.49147118518909))",0.03690451005722628,18.486980825734424,73.81222208970526,Sunday
3547,A280002732#,1.0,,18.540385,18.474621,73.817805,73.809393,3.0,500.0,A280002732,1.0,73.813389,18.482854999999997,320,18.48241888887333,73.81039154896787,0.0,180611-0855,180611,8,50,2018-06-11 08:55:00,"18.482854999999997, 73.813389","18.483265, 73.81488399999999",18.483265,73.81488399999999,,164.17218899721254,morning,18.482854999999997,73.813389,[[32]],32.0,32.0,"POLYGON ((73.80760128721728 18.49147118518909, 73.80737413150756 18.48249056384984, 73.81684264555854 18.48249039387959, 73.81707029453172 18.49147100398452, 73.80760128721728 18.49147118518909))",0.03690451005722628,18.486980825734424,73.81222208970526,Monday
3548,A280002732#,1.0,,18.541494,18.463779000000002,73.82991,73.819816,4.0,500.0,A280002732,1.0,73.814911,18.48321,789,18.48354096810508,73.82238364031465,0.0,180611-1318,180611,13,10,2018-06-11 13:18:00,"18.48321, 73.814911","18.482599, 73.81359499999999",18.482599,73.81359499999999,,154.57028102787174,afternoon,18.48321,73.814911,[[32]],32.0,32.0,"POLYGON ((73.80760128721728 18.49147118518909, 73.80737413150756 18.48249056384984, 73.81684264555854 18.48249039387959, 73.81707029453172 18.49147100398452, 73.80760128721728 18.49147118518909))",0.03690451005722628,18.486980825734424,73.81222208970526,Monday
3549,A280002732#,1.0,,18.541494,18.463779000000002,73.82991,73.819816,4.0,500.0,A280002732,1.0,73.81359499999999,18.482599,1198,18.474625090647322,73.8212261909163,0.0,180611-1705,180611,16,56,2018-06-11 17:05:00,"18.482599, 73.81359499999999","18.483469, 73.814851",18.483469,73.814851,,164.07388802426902,afternoon,18.482599,73.81359499999999,[[32]],32.0,32.0,"POLYGON ((73.80760128721728 18.49147118518909, 73.80737413150756 18.48249056384984, 73.81684264555854 18.48249039387959, 73.81707029453172 18.49147100398452, 73.80760128721728 18.49147118518909))",0.03690451005722628,18.486980825734424,73.81222208970526,Monday
3550,A280002732#,1.0,,18.541494,18.463779000000002,73.82991,73.819816,4.0,500.0,A280002732,1.0,73.81557600000001,18.48325,719,18.48354096810508,73.82238364031465,0.0,180612-1255,180612,12,50,2018-06-12 12:55:00,"18.48325, 73.81557600000001","18.48367, 73.816547",18.48367,73.816547,,112.58291127180219,afternoon,18.48325,73.81557600000001,[[32]],32.0,32.0,"POLYGON ((73.80760128721728 18.49147118518909, 73.80737413150756 18.48249056384984, 73.81684264555854 18.48249039387959, 73.81707029453172 18.49147100398452, 73.80760128721728 18.49147118518909))",0.03690451005722628,18.486980825734424,73.81222208970526,Tuesday
3551,A280002732#,1.0,,18.541494,18.463779000000002,73.82991,73.819816,4.0,500.0,A280002732,1.0,73.816547,18.48367,616,18.48354096810508,73.82238364031465,0.0,180612-1619,180612,16,10,2018-06-12 16:19:00,"18.48367, 73.816547","18.483295000000002, 73.815557",18.483295000000002,73.815557,,112.4586041581044,afternoon,18.48367,73.816547,[[32]],32.0,32.0,"POLYGON ((73.80760128721728 18.49147118518909, 73.80737413150756 18.48249056384984, 73.81684264555854 18.48249039387959, 73.81707029453172 18.49147100398452, 73.80760128721728 18.49147118518909))",0.03690451005722628,18.486980825734424,73.81222208970526,Tuesday
